Country;Sector;Product CN Code;Description;Default Value (direct emissions);Default Value (Indirect emissions);Default Value (total emissions);2026 Default Value (Including mark-up);2027 Default Value (Including mark-up);2028 Default Value (Including mark-up);Underlying production route determining CBAM BM
South Korea;Iron and steel;730449;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of stainless steel, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines or of a kind used for drilling for oil or gas)";4.084;;4.084;4.4924;4.9008;5.3092;
South Korea;Iron and steel;730451;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)";2.144;;2.144;2.3584;2.5728;2.7872;(F)
South Korea;Iron and steel;730459;"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of alloy steel other than stainless, not cold-drawn or cold-rolled ""cold-reduced"" (excl. line pipe of a kind used for oil or gas pipelines, casing and tubing of a kind used for drilling for oil)";2.144;;2.144;2.3584;2.5728;2.7872;(C)
South Korea;Iron and steel;73049000;Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel (excl. products of cast iron);2.154;;2.154;2.3694;2.5848;2.8002;(C)
South Korea;Iron and steel;7305;"Tubes and pipes, having circular cross-sections and an external diameter of > 406,4 mm, of flat-rolled products of iron or steel ""e.g., welded, riveted or similarly closed""";2.154;;2.154;2.3694;2.5848;2.8002;(C)
South Korea;Iron and steel;7306;"Tubes, pipes and hollow profiles ""e.g., open seam or welded, riveted or similarly closed"", of iron or steel (excl. of cast iron, seamless tubes and pipes and tubes having internal and external circular cross-sections and an external diameter of > 406,4 mm)";;;;;;;
South Korea;Iron and steel;73061100;Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm;4.114;;4.114;4.5254;4.9368;5.3482;
South Korea;Iron and steel;73061900;Line pipe of a kind used for oil or gas pipelines, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron);2.164;;2.164;2.3804;2.5968;2.8132;(C)
South Korea;Iron and steel;73062100;Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of stainless steel, of an external diameter of <= 406,4 mm;4.114;;4.114;4.5254;4.9368;5.3482;
South Korea;Iron and steel;73062900;Casing and tubing of a kind used in drilling for oil or gas, welded, of flat-rolled products of iron or steel, of an external diameter of <= 406,4 mm (excl. products of stainless steel or of cast iron);2.164;;2.164;2.3804;2.5968;2.8132;(C)
